Timestamp,Sensor,X,Y,Z
4056,Accelerometer 1,-9.64974,-2.11824,0.00000
4062,Accelerometer 1,-9.57129,-2.11824,-0.54917
4069,Accelerometer 1,-9.41438,-2.27514,-0.47072
4076,Accelerometer 1,-9.41438,-2.19669,0.00000
4100,Accelerometer 1,-9.57129,-2.03978,-0.15691
4110,Accelerometer 1,-9.57129,-2.11824,0.23536
4117,Accelerometer 1,-9.57129,-1.88288,-0.31381
4124,Accelerometer 1,-9.88510,-2.03978,-0.15691
4131,Accelerometer 1,-9.57129,-2.03978,0.00000
4137,Accelerometer 1,-9.80665,-1.96133,0.07845
4156,Accelerometer 1,-9.57129,-1.88288,0.00000
4166,Accelerometer 1,-9.41438,-2.11824,0.00000
4173,Accelerometer 1,-9.72820,-1.96133,0.07845
4179,Accelerometer 1,-9.64974,-2.03978,-0.23536
4192,Accelerometer 1,-9.64974,-1.88288,-0.31381
4209,Accelerometer 1,-9.80665,-2.03978,0.07845
4219,Accelerometer 1,-9.72820,-1.96133,0.00000
4227,Accelerometer 1,-9.72820,-2.27514,-0.62763
4234,Accelerometer 1,-9.80665,-2.27514,-0.47072
4241,Accelerometer 1,-9.72820,-2.11824,0.00000
4247,Accelerometer 1,-9.57129,-2.35360,0.00000
4267,Accelerometer 1,-9.72820,-2.27514,-0.54917
4277,Accelerometer 1,-9.80665,-1.88288,0.31381
4284,Accelerometer 1,-9.80665,-2.11824,-0.31381
4290,Accelerometer 1,-9.72820,-2.11824,0.00000
4301,Accelerometer 1,-9.49284,-2.35360,-0.39227
4320,Accelerometer 1,-10.04201,-2.03978,-0.31381
4331,Accelerometer 1,-9.72820,-2.27514,0.00000
4338,Accelerometer 1,-9.57129,-2.35360,0.00000
4344,Accelerometer 1,-9.41438,-1.88288,0.15691
4352,Accelerometer 1,-9.49284,-2.03978,0.00000
4370,Accelerometer 1,-9.57129,-1.88288,-0.31381
4379,Accelerometer 1,-9.88510,-2.19669,-0.62763
4386,Accelerometer 1,-9.41438,-1.96133,-0.15691
4393,Accelerometer 1,-9.57129,-2.03978,0.00000
4401,Accelerometer 1,-9.72820,-2.03978,0.00000
4423,Accelerometer 1,-9.72820,-2.43205,-0.70608
4434,Accelerometer 1,-9.57129,-2.27514,-0.62763
4442,Accelerometer 1,-9.96356,-2.03978,0.00000
4448,Accelerometer 1,-9.57129,-2.03978,-0.31381
4455,Accelerometer 1,-8.94367,-2.51050,0.00000
4472,Accelerometer 1,-9.88510,-2.19669,-0.31381
4483,Accelerometer 1,-9.64974,-2.03978,-0.31381
4490,Accelerometer 1,-9.80665,-2.11824,0.00000
4496,Accelerometer 1,-9.88510,-2.19669,-0.23536
4503,Accelerometer 1,-9.57129,-2.27514,0.00000
4527,Accelerometer 1,-9.88510,-2.11824,-0.23536
4538,Accelerometer 1,-9.64974,-1.96133,-0.23536
4544,Accelerometer 1,-9.57129,-2.35360,-0.31381
4551,Accelerometer 1,-9.64974,-2.27514,0.00000
4558,Accelerometer 1,-9.88510,-2.11824,-0.31381
4566,Accelerometer 1,-9.64974,-1.96133,-0.31381
4584,Accelerometer 1,-9.41438,-2.35360,-0.31381
4594,Accelerometer 1,-9.96356,-2.27514,-0.23536
4600,Accelerometer 1,-9.64974,-2.27514,0.00000
4608,Accelerometer 1,-9.41438,-2.27514,0.00000
4614,Accelerometer 1,-9.64974,-1.96133,0.00000
4636,Accelerometer 1,-9.57129,-2.19669,0.07845
4647,Accelerometer 1,-9.64974,-2.03978,-0.23536
4655,Accelerometer 1,-9.72820,-1.41216,-0.23536
4661,Accelerometer 1,-10.04201,-1.80442,-0.23536
4668,Accelerometer 1,-9.57129,-1.96133,0.07845
4675,Accelerometer 1,-9.88510,-2.03978,-0.39227
4695,Accelerometer 1,-9.96356,-2.27514,-0.47072
4705,Accelerometer 1,-8.86521,-1.96133,0.00000
4711,Accelerometer 1,-9.64974,-1.96133,0.00000
4718,Accelerometer 1,-9.80665,-2.11824,0.00000
4752,Accelerometer 1,-9.57129,-2.03978,-0.15691
4763,Accelerometer 1,-9.64974,-2.03978,-0.54917
4770,Accelerometer 1,-9.72820,-1.96133,-0.15691
4777,Accelerometer 1,-9.88510,-2.27514,-0.47072
4784,Accelerometer 1,-9.96356,-2.03978,0.00000
4791,Accelerometer 1,-9.57129,-2.03978,-0.23536
4809,Accelerometer 1,-9.57129,-2.27514,0.00000
4819,Accelerometer 1,-9.72820,-2.27514,-0.15691
4827,Accelerometer 1,-9.72820,-2.19669,-0.62763
4833,Accelerometer 1,-9.25748,-2.03978,-0.54917
4840,Accelerometer 1,-9.64974,-1.96133,0.31381
4862,Accelerometer 1,-9.88510,-2.19669,-0.31381
4874,Accelerometer 1,-9.49284,-1.80442,-0.23536
4880,Accelerometer 1,-9.49284,-2.03978,-0.31381
4887,Accelerometer 1,-9.49284,-2.03978,0.00000
4894,Accelerometer 1,-9.72820,-2.11824,-0.62763
4900,Accelerometer 1,-9.57129,-2.19669,0.00000
4920,Accelerometer 1,-9.57129,-2.19669,-0.31381
4930,Accelerometer 1,-9.64974,-2.19669,-0.39227
4937,Accelerometer 1,-9.72820,-2.35360,-0.54917
4943,Accelerometer 1,-9.49284,-1.96133,0.00000
4955,Accelerometer 1,-9.64974,-1.96133,0.15691
4973,Accelerometer 1,-9.80665,-2.19669,0.00000
4984,Accelerometer 1,-9.41438,-2.03978,0.00000
4990,Accelerometer 1,-9.57129,-2.27514,-0.23536
4998,Accelerometer 1,-9.80665,-1.88288,0.07845
5005,Accelerometer 1,-9.72820,-1.88288,-0.31381
5012,Accelerometer 1,-9.72820,-2.27514,0.00000
5029,Accelerometer 1,-9.72820,-1.96133,0.00000
5040,Accelerometer 1,-9.57129,-1.96133,-0.15691
5047,Accelerometer 1,-9.64974,-2.51050,-0.62763
5053,Accelerometer 1,-9.88510,-2.11824,-0.31381
5064,Accelerometer 1,-9.88510,-2.03978,-0.39227
5084,Accelerometer 1,-9.72820,-2.11824,0.00000
5095,Accelerometer 1,-9.41438,-2.27514,-0.23536
5102,Accelerometer 1,-9.49284,-1.96133,0.00000
5108,Accelerometer 1,-9.49284,-1.96133,0.00000
5115,Accelerometer 1,-9.57129,-2.03978,-0.23536
5133,Accelerometer 1,-9.41438,-2.11824,-0.31381
5143,Accelerometer 1,-9.64974,-2.19669,-0.47072
5149,Accelerometer 1,-9.57129,-2.03978,0.00000
5156,Accelerometer 1,-9.96356,-2.19669,-0.23536
5169,Accelerometer 1,-9.88510,-2.03978,0.00000
5187,Accelerometer 1,-9.72820,-2.27514,-0.23536
5197,Accelerometer 1,-9.72820,-2.35360,-0.39227
5204,Accelerometer 1,-9.88510,-2.11824,-0.15691
5212,Accelerometer 1,-9.57129,-2.27514,0.23536
5219,Accelerometer 1,-9.72820,-1.80442,0.47072
5225,Accelerometer 1,-9.41438,-2.11824,0.00000
5244,Accelerometer 1,-9.41438,-1.96133,-0.23536
